Sl. No.,Name of Company & Address (Email),Name of the Representative,Telephone No,Web Address
01,"The ACME Laboratories Ltd.1/4 Kallayanpur, Mirpur Road, Dhaka-1207E-mail:msinha.md@acmeglobal.com,taseem@acmeglobal.com",Mr. Fahim Sinha,"9021993
9004194-6
9005620",Visit Website
02,"Aristopharma Ltd.Aristo Tower, 239 Bir Uttam Mir Shawkat Sarak, Tejgoan-Gulshan Link Road, Dhaka-1208E-mail:aih@aristopharma.com,apl@aristopharma.com",Mr. Ahmed Imtiaz Hassan,"09606332211-12
02226603965-66",Visit Website
03,"Ambee Pharmaceuticals PLC184/1 Tejgaon I/A, Dhaka-1208E-mail:info@ambeepharma.com,acc.tamim@ambeepharma.com",Ms. Kazi Tanzzina Ferdous,"8870777
8870788",Visit Website
04,"Apollo Pharmaceutical Laboratories LtdPlot # 10, Street # 4, Sec.# 7, Mirpur I/A, Dhaka-1216E-mail:mobin@bangla.net",Mr. Azmat Mobin,"9001794
9039453",-
05,"Alco Pharma LtdHusain Chamber, 43 Dilkusha C/A, Dhaka-1000E-mail:contact@alcopharma.net,r.atiar@yahoo.com",Mr. Md. Tahirul Haque,"55049843
55049847",Visit Website
06,"ACI Healthcare LimitedACI Centre, 245 Tejgaon IA, Dhaka-1208E-mail:coo@aci-bd.com",Mr. M Mohibuz Zaman,88-0255068511,Visit Website
07,"Advance Chemical Industries PLCACI Centre, 245 Tejgaon I/A, Dhaka-1208E-mail:coo@aci-bd.com",Mr. Imam Ahmed Istiak,88-02-55068511,Visit Website
08,"AZTEC Pharmaceuticals Ltd6/F Ring Road, Pearl Street (Ground Floor), Shyamoli, Dhaka-1207E-mail:husaki16@yahoo.com",Mr. Md. Hamidul Haque Chowdhury,01712-049988,-
09,"Albert David (Bangladesh) Ltd115/116 Tajgaon IA, Dhaka-1208E-mail:choudrys@bol-online.com",Mr. Shafi A Choudhury,"9553434
9554444
9556633",-
10,"APC Pharmaceuticals Ltd370-371 Outer Circular Road, Rajarbag, Flat # 3A (1st Floor) Dhaka-1217E-mail:tamanna_098@yahoo.com,apcpharma@gmail.com",Ms. Sk. Tamanna Alam,--,-
11,"Apex Pharma LimitedHouse # 06 Road # 137, Block # SE(D) Gulshan-1, Dhaka-1212E-mail:dilip@apexfootwearltd.com",Mr. Dilip Kajuri,88-02-55044834-37,-
12,"Amico Laboratories LtdShandani Life Tower, 34 Bangla Motor, Dhaka-1000E-mail:mojibul.islam@yahoo.com",Mr. Mojibul Islam,58812565-6,-
13,"Albion Laboratories LtdInnovative Bhuiyan Orchid (Level 3 & 4), 1025/A, Bayazid Bostami Road, East Nasirabad, ChittagongE-mail:albion_lab@yahoo.com,info@albionbd.com",Mr. Mohammed Raisul Uddin,"672202
2571193",Visit Website
14,"Albion Specialized Pharma LtdInnovative Bhuiyan Orchid (Level 3 & 4), 1025/A, Bayazid Bostami Road, East Nasirabad, ChittagongE-mail:albion_lab@yahoo.com,info@albionbd.com",Mr. Md. Muntahar Uddin,-,Visit Website
15,"Active Fine Chemicals Ltd.Navana Osman@Link (5th Floor), 214/D Gulshan-Tejgaon Link Road, Dhaka-1208E-mail:active.fine.chemical@gmail.com",Mr. S M Saifur Rahman,"8836830
8836843
8836854",-
16,"Asiatic Laboratories Ltd.Treasure Island (5th Floor), 42-43 Siddeshwari Circular Road, Shantinagar Dhaka-1217E-mail:info@asiaticpharma.com",Mr. Monir Ahmed,8311355,-
17,"Astra Biopharmaceuticals Ltd48/2 RK Mission Road, Gopibag, Wari, Dhaka-1203E-mail:nazrul@astrabiopharma.com",Mr. Md. Nazrul Islam,96777788000-01,Visit Website
18,"Amulet Pharmaceuticals Ltd.Cha-72/1-B Moddha Badda, Holland Centre (6th Floor), Progoti Sarani, Dhaka-1212E-mail:info@ammuletpharmaceuticals.com",Mr. Syed Amirul Islam,"9891058
9891059",-
19,"Allied Pharmaceuticals Ltd.28/2 Eskaton Garden Road, Ramna, Dhaka-1000E-mail:ccblbd@yahoo.com",Dr. Mohammad Ali Noor,"8332435
8332087",-
20,"Al Madina Pharmaceuticals Ltd178-179 East Tejturi Bazar (Two Star Tower), Farmgate, Dhaka-1215E-mail:Ajitdas15@yahoo.com,ayeshaampl@gmail.com",Mr. Zakir Hossain Patwary,"8712019
58814415
01678397006",Visit Website
21,"Ad-din Pharmaceuticals Ltd2 Bara Maghbazar, Dhaka-1217E-mail:info@addinpharma.com","Prof. Jamalun Nessa, PhD",09612345666,-
22,"Army Pharma LimitedHouse # 41, Road # 07, Dhaka Cantonment, Dhaka-1206E-mail:armypharma.bmtf@gmail.com",Brig. Gen. G H M Selim Hassan,88-02-8871308,-
23,"Beximco Pharmaceuticals PLC19 Dhanmondi RA, Road # 7, Dhaka-1205E-mail:iqa@bpl.net,msl@bpl.net",Mr. Iqbal Ahmed,58611001-7,Visit Website
24,"B S Industries189/B Tajgaon I/A, Dhaka-1208E-mail:finisoil@gmail.com",Mr. Sadruddin H Jeewa,"9883534
9897956",-
25,"Bengal Techno Pharma Ltd.152/1 Green Road (Ground Floor), Dhanmondi, Dhaka-1205E-mail:bengaltechno_pharma@yahoo.com",Mr. Mohammed Ali Khan,"9123844
9132980",-
26,"Biopharma LimitedHouse # 01, Road # 01, Dhaka Housing, Adabar, Dhaka-1207E-mail:drlokiat@gmail.com,dmlokiat@gmail.com",Dr. Lokiat Ullah,"01730-357100
01713-186303",Visit Website
