Company Name,Membership Number,Member Status,Contact Person,Company Address,Factory Address,Phone,Fax,Email,Website,Products,Detail URL
Eminence Sourcing,1244,Active,"Mr. Pulak Podder, Proprietor","House # 17, Road # 18, Sector-03, Flat-B2, Uttara, Dhaka-1230.","House # 36, Ward # 6, Block # A, Asulia EPZ Road, Tongaban, Ashulia, Savar",01715229218,,pulak@eminencesourcing.com,,"Elastic, Non-Elastic, Twill Tape.",https://www.bgapmea.org/index.php/member/member_details/882
Blue Pack Limited,1444,Active,"Belal Uddin , Managing Director","Janata Iron Market, 454, Sagorica Road Pahartali, Chattogram","Janata Iron Market, 454, Sagorica Road Pahartali, Chattogram","031-2773969, 01755578822",031-2773969,bluepackbd@gmail.com,,"Printed Poly Bag, Back Board, Neck Board, Collar, Bone, Bar Code, Hang Tag Size Tag, Price tag etc.",https://www.bgapmea.org/index.php/member/member_details/1082
Bonito Accessories Industries Ltd.,1648,Active,"Mr. Md. Golam Zilani , Managing Director","Nirman Samad Trade Center (8th Floor), 63/1, Pioneer Road, Kakrail, Dhaka-1000","B.K. Bari, Rajendrapur, Gazipur","9357745, Mob: 01755699312",,info@bonitobutton.com,,Button,https://www.bgapmea.org/index.php/member/member_details/1256
Bengal Labels & Accessories Industries Ltd.,1431,Active,"Md. Arif Hossain, Managing Director","21/A, Chanpara, Uttarkhan Uttara, Dhaka-1230","21/A Chanpara, Uttarkhan, Uttara, Dhaka-1230","88-02-48954904, 01713-003469",,"arif@bengalaccessoriesltd.com, johir.rmaccories@gmail.com,",,"Back Board, Neck Board, Photo in lay, Photo card, Photo box, Tissue Box, Carton, Hang Tag, Label, Barcode Label, Elastic Label etc.",https://www.bgapmea.org/index.php/member/member_details/1069
Bushara Enterprise,1595,Active,"Mr. Md. Rezaul Karim , Proprietor","23/3 Uttar Rajason, Savar, Dhaka","23/3 Uttar Rajason, Savar, Dhaka",88 02 7742399,880 2 7741386,bushraenterprise@gmail.com,,"Poly, Elastic, Back Board, Neck Board etc.",https://www.bgapmea.org/index.php/member/member_details/1225
Dekko Accessories Ltd.,1082,Active,"M. Shahadat Hossain Kiron , Chairman","Shimanto Shambhar (8th floor), Road # 02, Dhanmondi, Dhaka-1205","Singair Road, Hemayetpur, Savar, Dhaka",09666774400,8128055,"info.dal@dekkolegacy.com, info@dalbd.com",www.dekkobd.com,"Button, Woven Label, Printed Label, Multicolor PP/PE/OPP Polybag, Butterfly, Collar Insert, Collar Bones, Back Board, Neck Board etc.",https://www.bgapmea.org/index.php/member/member_details/163
Fair Ad Bangladesh,1661,Active,"Md. Mamunur Rashid , Proprietor","House No.6/2, Road No-02, Block# B, Dhorengartek, Nishat Nagar, Turag Dhaka","House No.6/2, Road No-02, Block# B, Dhorengartek, Nishat Nagar, Turag Dhaka",01713453422,,fairadbangladesh@gmail.com,,Printing & Packaging,https://www.bgapmea.org/index.php/member/member_details/1262
Chowgacha Printing Ltd.,617,Active,"Engr. Md. Musaraffe Hossain Mollah, Managing Director","House # 85, Avenue # 1, Block # B, Section # 12, Pallabi, Mirpur, Dhaka","Plot # 01, Sreekhondia, Ashulia, Savar, Dhaka","9000283, 01714047612",9013700,chowgachaprintingl12@gmail.com,,"Hang Tag, Bar Code, Size Tag, Price Tag, Paper Band, Back Board, Neck Board, Tissue Paper.",https://www.bgapmea.org/index.php/member/member_details/132
Export Printing & Accessories Ltd.,1752,Active,"Monzurul Kabir Monzur, Managing Director","274/3, Elephant Road, Dhaka-1205","Gauripur, Ashulia, Dhaka","9661550, 01877733681, 01877 733683",,epacmonzur@gmail.com,www.epacbd.net,,https://www.bgapmea.org/index.php/member/member_details/1389
Alimuzzoha Packaging & Printing,1816,Active,"Md. Alimuzzoha, Proprietor","2712/5593, Nodda Para, Hazz Camp Road, Dokkhinkhan, Dhaka-1230","2712/5593, Nodda Para, Hazz Camp Road, Dokkhinkhan, Dhaka-1230",01713004072,,"reza12876@gmail.com, arifcommercial774@gmail.com",,"Poly Bag (Printed & Non-printed), Blister Poly, Back Board, Neck Board, Photocard, Tang Tag, Price Tag etc.",https://www.bgapmea.org/index.php/member/member_details/1455
