Company Name,Membership Number,Member Status,Contact Person,Company Address,Factory Address,Phone,Fax,Email,Website,Products,Detail URL
Dody Trims Ltd.,887,Active,"Abu Jafar Md. Golam Hossain Bhuiyan, Managing Director","1/1/1, South Begun Bari, Tejgaon I/A, Dhaka","Bashon (Adjacent to Haque Market), Kadda Bazar, Gazipur",8113303,,"dody.mktg@dodygroup.com, info@dodygroup.com",www.dodygroup.com,"Corrugated Carton, Back Board, Neck Board, Tissue Paper, Collar Bone, Bar Code, Hang Tag, Size Tag, Printed Poly, Printed Label.",https://www.bgapmea.org/index.php/member/member_details/183
JR Poly & Packaging Industries,1951,Active,"Mohammad Rasel Uddin, Managing Partner","North Halishahar, Chowdhury Para, Word No. 26, Halishahar, Chattogram","North Halishahar, Chowdhury Para, Word No. 26, Halishahar, Chattogram","01845765649, 01846792964",,jrpolyindustries22@gmail.com,,"All kinds of Export Oriented LDP, HDP, PP, Gum Tape, Maskin Tape, Raxin Tape, Art Board, Duplex Board etc.",https://www.bgapmea.org/index.php/member/member_details/1584
Khan Trims Limited,1778,Active,"Mr. Md. Moshiur Rahman Khan, Managing Director","House # 12, Flat-3A, Road # 3, Sector # 5, Uttara, Dhaka-1230","Potka, Kapasia Road, Sreepur, Gazipur-1740","4895067, 01711821807, 01933002433",48950967,khantrims2020@gmail.com,,"OTP Gum Tape, Duplex Board, PVC Film, Sewing Thread/Polyester Thread, BOPP Film, Lamination Film, Art Card, Ribbon",https://www.bgapmea.org/index.php/member/member_details/1417
M. A. Accessories Industries Ltd.,1309,Active,"Mahbubur Rahman , Managing Director","75, Malitola Road (2nd floor) Bangshal, Dhaka-1100","Bamail, Sarulia, Demra, Dhaka","9580482, 9583273, 01713001870",9580482,rupalilace@gmail.com,,"Drawstring, Twill Tape, Back Board, Neck Board, Hang Tag, Size Tag, Price Tag, Photo Card, Elastic, Gum Tape etc.",https://www.bgapmea.org/index.php/member/member_details/944
Alliance Accessories,1853,Active,"Md. Shafiqul Islam Chowdhury, Managing Partner","25 No. Nasuma Mansion (1st Floor), Amirbag R/A, Chattogram","Imam Nogor, D.T. Road, Banur Bazar, Vhatiary, Shitakundah, Chattogram","031-2859698, Cell: 01631880242, 01631880242",,alliance.acc21@gmail.com,,"Printed Poly Bag, All kinds of Hang Tag, Photo Card, Photo Inlay, Back Board, Neck Board, Tissue Paper",https://www.bgapmea.org/index.php/member/member_details/1489
SR Flexopack Limited,1844,Active,"M. Rabiul Islam (Monju), Managing Director","1050, Jashore Road, Chamber Mansion, Khulna","Plot # 658, City Bypass Road, Teligati, Aronghata, Khulna","02477-724538, 01711357752, 01911085746",02477-724539,"srflexopack@gmail.com, srtradingkln@gmail.com",,"Poly Bag, Different types of Carton.",https://www.bgapmea.org/index.php/member/member_details/1482
Digital Packaging & Accessories,1158,Active,"Nurul Islam Mridha, Proprietor","Khowaznagar, Azimpara, Karnafully, Chattogram","Khowaznagar, Azimpara, Karnafully, Chattogram",0183-1142877,,dpactgbd@gmail.com,,"Corrugated Carton, Back Board, Neck Board, Collar Bone, Bar Code, Hang Tag, Size Tag, Price Tag, Tissue Paper, Poly Bag, Hanger.",https://www.bgapmea.org/index.php/member/member_details/176
Redoy Accessories,1531,Active,"Md. Tayabur Rahman , Proprietor","House # 9, Block –B, Shairchar, Lalkha, Fatullah, Kutubpur, Narayangonj.","Redoy Tower, House # 9, Block –B, Shairchar, Lalkha, Fatullah, Kutubpur, Narayangonj.","019128300138, 01715472775, 88-02-47670579",,redoyaccessories007@gmail.com,,"Printed Poly Bag, Sewing Thread, Elastic/Non Elastic Band, Lace, Belt, Gum Tape",https://www.bgapmea.org/index.php/member/member_details/1165
Wide View Ltd.,1773,Active,"Rasel Ahmed, Managing Director","House # 14, Road # 20, Sector # 04, Uttara, Dhaka-1230","6/1-A, Darail Sataish, Tongi, Gazipur","01704284530, 01704284540, 01787655502",,wideviewaccessories@gmail.com,,"Carton, Back Board, Printing Accessories",https://www.bgapmea.org/index.php/member/member_details/1413
China-Bangla Zipper Industries Ltd.,1624,Active,"Mr. Md. Sirajul Islam , Managing Director","223/305, Chowtail, Roail, Dhamrai, Dhaka","223/305, Chowtail, Roail, Dhamrai, Dhaka",01628350414,,cbzipper2017@gmail.com,,All Kind of Metal Zipper,https://www.bgapmea.org/index.php/member/member_details/1282
